timestamp,videogames,genre,differentgames,music,mmo,openworld,rpg ,action,racing,sports,rhythm,fighting,platform,adventure,strategy
10/29/2023 10:45:43,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Game",17,8,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
10/29/2023 10:55:14,Yes,"Role Playing Game, Action, Racing",2,90,No,No,Yes,Yes,Yes,No,No,No,No,No,No
10/29/2023 13:40:52,Yes,"Massively Multiplayer Online, Open World, Role Playing Game",0,1,Yes,Yes,Yes,No,No,No,No,No,No,No,No
10/29/2023 13:51:13,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Platform, Strategy, Fighting, Rhythm Games",3,3240,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
10/29/2023 13:59:20,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Platform, Fighting",7,8296,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
10/29/2023 17:07:53,Yes,"Role Playing Game, Action, Platform, Strategy, Fighting, Rhythm Games, A lot of sub genres ",8,300,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes
10/30/2023 13:26:02,Yes,Fighting,2,0,No,No,No,No,No,No,No,Yes,No,No,No
10/30/2023 13:30:27,No,None,0,231,No,No,No,No,No,No,No,No,No,No,No
10/30/2023 13:32:30,Yes,Role Playing Game,1,3,No,No,Yes,No,No,No,No,No,No,No,No
10/30/2023 14:19:08,Yes,"Open World, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting",3,120,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes
10/30/2023 14:20:40,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Racing, Rhythm Games",5,44,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No
10/30/2023 14:23:29,Yes,"Massively Multiplayer Online, Open World, Adventure",3,10,Yes,Yes,No,No,No,No,No,No,No,Yes,No
10/30/2023 14:23:31,Yes,"Massively Multiplayer Online, Role Playing Game, Platform",3,300,Yes,Yes,No,No,No,No,No,No,Yes,No,No
10/30/2023 14:24:12,Yes,"Open World, Role Playing Game, Racing",3,250,No,Yes,Yes,No,Yes,No,No,No,No,No,No
10/30/2023 14:24:40,Yes,"Massively Multiplayer Online, Open World, Action, Adventure, Fighting, Rhythm Games",3,42,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No
10/30/2023 14:25:19,Yes,"Massively Multiplayer Online, Open World, Action, Adventure, Racing, Strategy, Fighting",3,21,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes
10/30/2023 14:25:42,No,Role Playing Game,0,240,No,No,Yes,No,No,No,No,No,No,No,No
10/30/2023 14:27:11,Yes,"Sports, Strategy",2,57,No,No,No,No,No,Yes,No,No,No,No,Yes
10/30/2023 14:27:14,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Strategy, Fighting, Rhythm Games",3,2,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
10/30/2023 14:27:15,Yes,"Massively Multiplayer Online, Sports, Action, Adventure, Racing, Fighting",4,5,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No
10/30/2023 14:27:29,No,"Massively Multiplayer Online, Sports, Action",0,3,Yes,No,No,Yes,No,Yes,No,No,No,No,No
10/30/2023 14:27:47,Yes,"Sports, Role Playing Game, Overwatch",2,60,No,No,Yes,No,No,Yes,No,No,No,No,No
10/30/2023 14:27:48,Yes,"Massively Multiplayer Online, Action, Adventure",2,75,Yes,No,No,Yes,No,No,No,No,No,Yes,No
10/30/2023 14:27:58,Yes,"Open World, Role Playing Game, Action, Adventure, Platform, Racing, Fighting, Horror Survival",5,10,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
10/30/2023 14:28:34,Yes,"Massively Multiplayer Online, Adventure, Roguelike",1,7,Yes,No,No,No,No,No,No,No,No,No,No
10/30/2023 14:29:03,Yes,"Open World, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Games",3,6,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
10/30/2023 14:29:38,No,Strategy,0,100,No,No,No,No,No,No,No,No,No,No,Yes
10/30/2023 14:31:28,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Games",3,6,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
10/30/2023 14:32:01,No,None,0,189,No,No,No,No,No,No,No,No,No,No,No
10/30/2023 14:32:27,Yes,"Open World, Role Playing Game, Action, Adventure, Platform, Strategy, Fighting, Rhythm Games",3,25,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
10/30/2023 14:33:36,Yes,"Massively Multiplayer Online, Role Playing Game, Platform, Strategy",3,480,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes
10/30/2023 14:34:09,Yes,"Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Games",4,76,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
10/30/2023 14:34:45,No,"Sports, Fighting",0,300,No,No,No,Yes,No,Yes,No,No,No,No,No
10/30/2023 14:38:03,Yes,Action,1,25,No,No,No,Yes,No,No,No,No,No,No,No
10/30/2023 14:43:29,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Adventure, Strategy, Fighting",3,190,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes
10/30/2023 14:46:47,Yes,"Sports, Role Playing Game, Action, Fighting",3,75,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No
10/30/2023 14:49:04,No,Strategy,0,200,No,No,No,No,No,No,No,No,No,No,Yes
10/30/2023 14:50:36,Yes,"Massively Multiplayer Online, Role Playing Game, Action, Adventure, Platform, Racing, Strategy, Fighting, Rhythm Games, Simulation, clickers, moba, rts, ",6,2400,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
10/30/2023 14:50:39,Yes,"Massively Multiplayer Online, Open World, Action, Adventure, Fighting",4,6,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No
10/30/2023 14:52:34,Yes,Rhythm Games,1,5,No,No,No,No,No,No,Yes,No,No,No,No
10/30/2023 15:30:52,Yes,Sports,2,2,No,No,No,No,No,Yes,No,No,No,No,No
10/30/2023 17:01:58,Yes,"Massively Multiplayer Online, Action",0,7,Yes,No,No,Yes,No,No,No,No,No,No,No
10/30/2023 21:16:14,Yes,"Massively Multiplayer Online, Open World, Action, Adventure, Strategy, Fighting",2,480,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes
10/31/2023 10:44:56,Yes,"Massively Multiplayer Online, Open World",2,190,Yes,Yes,No,No,No,No,No,No,No,No,No
10/31/2023 11:03:21,Yes,"Massively Multiplayer Online, Role Playing Game, Action, Adventure, Racing, Strategy, Fighting, Rhythm Games",15,10,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
11/1/2023 16:19:17,Yes,"Role Playing Game, Action, Adventure, Fighting",3,120,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No
11/1/2023 20:33:14,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Fighting, Rhythm Games",8,819,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
11/1/2023 20:33:44,No,None,0,498,No,No,No,No,No,No,No,No,No,No,No
11/1/2023 20:34:13,Yes,"Sports, Role Playing Game, Action, Racing, Strategy",5,923,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes
11/1/2023 20:36:10,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Action, Adventure, Rhythm Games",5,691,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
11/1/2023 20:36:32,Yes,"Massively Multiplayer Online, Role Playing Game, Adventure, Strategy",2,571,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes
11/1/2023 20:43:41,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Rogue Like",8,913,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
11/1/2023 20:44:06,No,None,0,714,No,No,No,No,No,No,No,No,No,No,No
11/1/2023 20:44:34,Yes,"Open World, Adventure, Platform, Fighting, Rhythm Games",4,675,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No
11/1/2023 20:45:32,Yes,"Open World, Role Playing Game, Adventure, Strategy, Fighting, Rhythm Games",4,723,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes
11/1/2023 20:46:22,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Action, Adventure, Strategy, Fighting, Genshin :)",5,1024,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
11/1/2023 20:48:45,No,None,0,643,No,No,No,No,No,No,No,No,No,No,No
11/1/2023 20:51:32,Yes,"Massively Multiplayer Online, Sports, Open World, Role Playing Game, Action, Adventure, Platform, Strategy, Fighting",12,1371,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
11/1/2023 20:52:02,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Action, Adventure, Strategy",3,452,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes
11/1/2023 20:52:33,Yes,"Sports, Action, Racing, Strategy",5,634,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes
11/1/2023 20:53:27,No,None,0,373,No,No,No,No,No,No,No,No,No,No,No
11/1/2023 20:54:35,Yes,"Massively Multiplayer Online, Open World, Role Playing Game, Platform, Strategy",5,532,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes
11/1/2023 20:55:24,No,None,0,472,No,No,No,No,No,No,No,No,No,No,No
11/1/2023 20:56:02,No,None,0,372,No,No,No,No,No,No,No,No,No,No,No
11/1/2023 20:58:04,Yes,"Action, Platform, Racing",3,512,No,No,No,Yes,Yes,No,No,No,Yes,No,No
